Pure static;;;Static compared;;;Dynamic compared;;;Converted to dynamic;;
N4Core3Gui9BaseArrayINS_10BaseStringIcEENS0_32_StringArray_ArrayCellViewerFuncENS0_26_StringArray_ViewFetchFuncEEE;1;;;;;;;;17:43:37 [T] [Ecs] Type 'ImageButton' has been registered.;4;
ComboView;1;;;;;;;;17:43:37 [T] [Ecs] Type 'ToggleButton' has been registered.;4;
ObjectPropertiesWindowEWC;1;;;;;;;;17:43:37 [T] [Ecs] Type 'Gizmo' has been registered.;4;
WorldLightningEWC;1;;;;;;;;17:43:37 [I] [{}] {};14;
data/assets/baked/mesh3d/Nature/FlowerBush1.nxmesh3d;1;;;;;;;;17:43:37 [T] [Ecs] Type 'Actor' has been registered.;4;
EditorSettingsEWC::KeymapItem;1;;;;;;;;17:43:37 [T] [Ecs] Type 'BaseCamera' has been registered.;4;
N4Core3Gui9BaseArrayINS_21GraphicsComponentData13ModifierParamENS_43_GraphicsModifiersArray_ArrayCellViewerFuncENS_37_GraphicsModifiersArray_ViewFetchFuncEEE;1;;;;;;;;17:43:37 [T] [Ecs] Type 'SceneTreeWindowEWC' has been registered.;4;
Actor;1;;;;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui8NumInputIfEE' has been registered.;4;
NxECSBasedEditorEWC;1;;;;;;;;Total FPS for this session: 134.89441086428582;1;
BaseMenuBarEWC;1;;;;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui11VecNumInputILm3EfEE' has been registered.;4;
ShaderManagerEWC;1;;;;;;;;Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/document.nxtex;1;
data/assets/baked/mesh3d/Nature/PalmTree1.nxmesh3d;1;;;;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui9BaseArrayINS_21GraphicsComponentData13ModifierParamENS_43_GraphicsModifiersArray_ArrayCellViewerFuncENS_37_GraphicsModifiersArray_ViewFetchFuncEEE' has been registered.;5;
BaseEWC;1;;;;;;;;GLFW Error [65544]: EGL: Failed to clear current context: An EGLDisplay argument does not name a valid EGL display connection;3;
aNormal;2;;;;;;;;17:43:37 [D] [Graphics] Window | GLFW version: 4.60;3;
N4Core3Gui11VecNumInputILm3EfEE;1;;;;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui9BaseArrayINS_10BaseStringIcEENS0_32_StringArray_ArrayCellViewerFuncENS0_26_StringArray_ViewFetchFuncEEE' has been registered.;5;
N4Core3Gui8LabelRowINS0_11VecNumInputILm2EiEEEE;1;;;;;;;;17:43:37 [T] [Ecs] Type 'ObjectPropertiesWindowEWC' has been registered.;5;
aPos;5;;;;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui8NumInputIiEE' has been registered.;5;
data/assets/baked/mesh3d/Nature/PineTree5.nxmesh3d;1;;;;;;;;17:43:37 [I] [Graphics] ShaderProgram | The shader program 'objectIdentifier' linked successfully.;3;
ImageButton;1;;;;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui11VecNumInputILm2EiEE' has been registered.;5;
data/assets/baked/folder.nxtex;2;;;;;;;;17:43:37 [T] [Ecs] Type 'ModalECSSearchPopUpEWC' has been registered.;5;
VerticalLayout;17;;;;;;;;17:43:37 [T] [Ecs] Type 'ModalAssetsSearchPopUpEWC' has been registered.;5;
EditorSettingsEWC::BaseListItem;1;;;;;;;;17:43:37 [T] [Ecs] Type 'ImageViewerEWC' has been registered.;6;
ECSEditorStaticMeshBundleAdapter;1;;;;;;;;17:43:37 [T] [Ecs] Type 'EditorSettingsEWC' has been registered.;6;
data/assets/baked/mesh3d/Nature/BirchTree4.nxmesh3d;1;;;;;;;;17:43:37 [T] [Ecs] Type 'BaseMenuBarEWC' has been registered.;7;
Settings;1;;;;;;;;17:43:37 [T] [Ecs] Type 'BaseFloatEWC' has been registered.;7;
N4Core3Gui11VecNumInputILm2EiEE;1;;;;;;;;17:43:37 [T] [Ecs] Type 'ECSBaseComponentAdapter' has been registered.;4;
data/assets/baked/mesh3d/Nature/Flower6.nxmesh3d;1;;;;;;;;17:43:37 [T] [Ecs] Type 'BaseEWC' has been registered.;7;
data/assets/baked/mesh3d/Nature/Bush3.nxmesh3d;1;;;;;;;;17:43:37 [T] [Ecs] Type 'AssetsManagerWindowEWC' has been registered.;7;
HorizontalLayout;53;;;;;;;;17:43:37 [I] [AssetsManager] {};1;
ModalECSSearchPopUp;1;;;;;;;;17:43:37 [T] [Ecs] Type 'Widget' has been registered.;8;
uGridColorThick;1;;;;;;;;17:43:37 [T] [Ecs] Type 'Button' has been registered.;4;
data/assets/baked/mesh3d/Nature/BirchTree1.nxmesh3d;1;;;;;;;;17:43:37 [T] [Ecs] Type 'Layout' has been registered.;9;
StaticMesh;1;;;;;;;;17:43:37 [T] [Ecs] Type 'HorizontalLayout' has been registered.;10;
Layout;1;;;;;;;;17:43:37 [T] [Ecs] {};74;
NxTextureEditorEWC;1;;;;;;;;17:43:37 [T] [{}] {};82;
Object Properties;1;;;;;;;;17:43:37 [D] [Graphics] Window | The window was created;3;
uProjAndView;312;;;;;;;;FPS: 59;1;
data/assets/baked/mesh3d/Nature/PineTree3.nxmesh3d;1;;;;;;;;Unloading of: /home/valerii/workspace/Nexium/data/assets/baked/folder.nxtex;1;
